XR	start	end	chr
XR_002637483.1	58227963	58239926	NC_035781.1
XR_002637645.1	58543325	58543732	NC_035781.1
XR_002637644.1	58617099	58619614	NC_035781.1
XR_002637857.1	59228873	59235373	NC_035781.1
XR_002637566.1	59243702	59245525	NC_035781.1
XR_002637773.1	59405089	59414322	NC_035781.1
XR_002637494.1	59438592	59449743	NC_035781.1
XR_002637724.1	59782200	59785084	NC_035781.1
XR_002637582.1	60256952	60257450	NC_035781.1
XR_002637827.1	60758287	60762680	NC_035781.1
XR_002637777.1	61002476	61003569	NC_035781.1
XR_002637785.1	61501464	61503414	NC_035781.1
XR_002637809.1	61506190	61507800	NC_035781.1
XR_002638545.1	85993	88415	NC_035782.1
XR_002638546.1	89360	91344	NC_035782.1
XR_002638473.1	442252	445752	NC_035782.1
XR_002638588.1	807369	813558	NC_035782.1
XR_002638535.1	1160042	1162414	NC_035782.1
XR_002638544.1	1601689	1602527	NC_035782.1
XR_002638519.1	1861456	1862314	NC_035782.1
XR_002638267.1	1921479	1924575	NC_035782.1
XR_002638312.1	2269717	2270583	NC_035782.1
XR_002638002.1	2889999	2891000	NC_035782.1
XR_002638218.1	3454593	3457289	NC_035782.1
XR_002638217.1	3463230	3465513	NC_035782.1
XR_002638215.1	3535194	3537320	NC_035782.1
XR_002638008.1	3937369	3944088	NC_035782.1
XR_002638458.1	4331338	4334230	NC_035782.1
XR_002638550.1	4535120	4537708	NC_035782.1
XR_002638598.1	4856210	4859117	NC_035782.1
XR_002638212.1	4943531	4944325	NC_035782.1
XR_002638564.1	5460686	5470237	NC_035782.1
XR_002638566.1	5470350	5471739	NC_035782.1
XR_002637968.1	6342560	6343811	NC_035782.1
XR_002638533.1	6502634	6507398	NC_035782.1
XR_002638074.1	6527807	6528558	NC_035782.1
XR_002638603.1	6707368	6708999	NC_035782.1
XR_002638026.1	7134339	7136506	NC_035782.1
XR_002638553.1	7140408	7151034	NC_035782.1
XR_002637975.1	7258076	7260442	NC_035782.1
XR_002638135.1	7898826	7905938	NC_035782.1
XR_002638385.1	8233621	8237664	NC_035782.1
XR_002638118.1	8495560	8498123	NC_035782.1
XR_002638401.1	8776462	8777398	NC_035782.1
XR_002637948.1	8839857	8847469	NC_035782.1
XR_002638356.1	9648571	9660587	NC_035782.1
XR_002638107.1	9685276	9687164	NC_035782.1
XR_002638516.1	9815340	9824436	NC_035782.1
XR_002638311.1	9979475	9979686	NC_035782.1
XR_002638244.1	10363878	10364978	NC_035782.1
XR_002638296.1	11079698	11080342	NC_035782.1
XR_002638617.1	11103831	11104775	NC_035782.1
XR_002638484.1	11265573	11270740	NC_035782.1
XR_002637951.1	11574485	11575826	NC_035782.1
XR_002637950.1	11580517	11584173	NC_035782.1
XR_002638439.1	11892181	11897326	NC_035782.1
XR_002638059.1	11936590	11942603	NC_035782.1
XR_002637928.1	12296962	12298191	NC_035782.1
XR_002638559.1	12377578	12379133	NC_035782.1
XR_002637952.1	12404206	12408606	NC_035782.1
XR_002637953.1	12417088	12421861	NC_035782.1
XR_002637962.1	12555253	12557839	NC_035782.1
XR_002638397.1	12933221	12936530	NC_035782.1
XR_002638399.1	13020034	13022983	NC_035782.1
XR_002638395.1	13022983	13026531	NC_035782.1
XR_002638400.1	13055317	13056343	NC_035782.1
XR_002638396.1	13099174	13101734	NC_035782.1
XR_002638051.1	13841631	13844100	NC_035782.1
XR_002637966.1	14048821	14050417	NC_035782.1
XR_002638143.1	14051446	14054745	NC_035782.1
XR_002638332.1	14085530	14103103	NC_035782.1
XR_002638042.1	14432369	14443423	NC_035782.1
XR_002638579.1	14914134	14916622	NC_035782.1
XR_002638326.1	14952946	14970335	NC_035782.1
XR_002638513.1	15315623	15316926	NC_035782.1
XR_002638120.1	15929934	15933712	NC_035782.1
XR_002638289.1	16383743	16384703	NC_035782.1
XR_002638286.1	16397992	16405194	NC_035782.1
XR_002638288.1	16842031	16844953	NC_035782.1
XR_002638285.1	16887213	16896600	NC_035782.1
XR_002638287.1	16934459	16937188	NC_035782.1
XR_002638081.1	17306802	17308652	NC_035782.1
XR_002638611.1	17656880	17658816	NC_035782.1
XR_002638610.1	17738500	17741130	NC_035782.1
XR_002638613.1	18035486	18035662	NC_035782.1
XR_002638612.1	18044030	18045915	NC_035782.1
XR_002638558.1	18367653	18370056	NC_035782.1
XR_002638054.1	18386229	18389121	NC_035782.1
XR_002638219.1	18438349	18439512	NC_035782.1
XR_002638259.1	18638415	18639741	NC_035782.1
XR_002638260.1	18840059	18841854	NC_035782.1
XR_002638539.1	19276440	19279294	NC_035782.1
XR_002638220.1	19303471	19305531	NC_035782.1
XR_002637976.1	19452795	19453663	NC_035782.1
XR_002638615.1	19712819	19716377	NC_035782.1
XR_002637988.1	19739061	19739684	NC_035782.1
XR_002638450.1	19945882	19948438	NC_035782.1
XR_002638451.1	19952294	19952931	NC_035782.1
XR_002638315.1	20263394	20267180	NC_035782.1
XR_002638514.1	20759758	20774736	NC_035782.1
XR_002638405.1	22464297	22466081	NC_035782.1
XR_002638404.1	22466093	22467344	NC_035782.1
XR_002638099.1	22487654	22492331	NC_035782.1
XR_002638018.1	22882375	22884607	NC_035782.1
XR_002638561.1	23338883	23340400	NC_035782.1
XR_002638409.1	23426317	23434396	NC_035782.1
XR_002638408.1	23492594	23493559	NC_035782.1
XR_002638109.1	23565157	23566098	NC_035782.1
XR_002638108.1	23634884	23653686	NC_035782.1
XR_002638031.1	23685333	23713977	NC_035782.1
XR_002638073.1	24457772	24460779	NC_035782.1
XR_002638065.1	25522413	25523904	NC_035782.1
XR_002638023.1	25977034	25980494	NC_035782.1
XR_002638064.1	26055850	26060018	NC_035782.1
XR_002638491.1	26060876	26061739	NC_035782.1
XR_002638459.1	26499594	26502597	NC_035782.1
XR_002638200.1	26858175	26858948	NC_035782.1
XR_002638017.1	27064433	27065994	NC_035782.1
XR_002638015.1	27150561	27153685	NC_035782.1
XR_002638016.1	27198287	27198813	NC_035782.1
XR_002638014.1	27199870	27202480	NC_035782.1
XR_002638291.1	27301511	27304929	NC_035782.1
XR_002638434.1	27796848	27798343	NC_035782.1
XR_002637945.1	28072113	28073603	NC_035782.1
XR_002638477.1	28276731	28281182	NC_035782.1
XR_002638053.1	28346770	28350437	NC_035782.1
XR_002638137.1	28755501	28756396	NC_035782.1
XR_002637931.1	29017838	29046028	NC_035782.1
XR_002638616.1	29267463	29270542	NC_035782.1
XR_002638070.1	29359788	29362290	NC_035782.1
XR_002638262.1	29725491	29736690	NC_035782.1
XR_002638591.1	29840237	29842973	NC_035782.1
XR_002638079.1	29857658	29859265	NC_035782.1
XR_002638082.1	29989058	29992611	NC_035782.1
XR_002638353.1	30472033	30495440	NC_035782.1
XR_002638472.1	31142266	31143284	NC_035782.1
XR_002638021.1	31637469	31643605	NC_035782.1
XR_002638463.1	31975235	31982317	NC_035782.1
XR_002638130.1	32007103	32007911	NC_035782.1
XR_002638602.1	32340102	32342846	NC_035782.1
XR_002638382.1	32522207	32523226	NC_035782.1
XR_002638592.1	32701559	32715859	NC_035782.1
XR_002638540.1	32755051	32755942	NC_035782.1
XR_002638115.1	32800090	32801037	NC_035782.1
XR_002638201.1	32870389	32882755	NC_035782.1
XR_002638005.1	33072753	33073582	NC_035782.1
XR_002638557.1	33074037	33081560	NC_035782.1
XR_002638292.1	33259081	33259855	NC_035782.1
XR_002638062.1	33433009	33436374	NC_035782.1
XR_002637947.1	33521705	33523313	NC_035782.1
XR_002637911.1	33817078	33823992	NC_035782.1
XR_002638047.1	34084163	34089061	NC_035782.1
XR_002638046.1	34533173	34535092	NC_035782.1
XR_002637934.1	34668109	34669266	NC_035782.1
XR_002637937.1	34765521	34766488	NC_035782.1
XR_002637935.1	34797006	34799873	NC_035782.1
XR_002637938.1	34815010	34818461	NC_035782.1
XR_002638547.1	35090601	35094431	NC_035782.1
XR_002637995.1	35146847	35148911	NC_035782.1
XR_002637997.1	35149737	35150963	NC_035782.1
XR_002637996.1	35154831	35156090	NC_035782.1
XR_002638027.1	36277459	36278378	NC_035782.1
XR_002638468.1	36692563	36704590	NC_035782.1
XR_002638604.1	36751856	36754175	NC_035782.1
XR_002638254.1	37047102	37048715	NC_035782.1
XR_002638349.1	37731170	37732497	NC_035782.1
XR_002638470.1	37940589	37942095	NC_035782.1
XR_002638493.1	38128402	38130745	NC_035782.1
XR_002638011.1	39605613	39615304	NC_035782.1
XR_002637929.1	39616620	39619414	NC_035782.1
XR_002638452.1	39673853	39676124	NC_035782.1
XR_002638257.1	40006248	40010969	NC_035782.1
XR_002638258.1	40250148	40251540	NC_035782.1
XR_002638003.1	40993884	40994863	NC_035782.1
XR_002638362.1	41048929	41051136	NC_035782.1
XR_002638363.1	41069800	41074332	NC_035782.1
XR_002638269.1	41881810	41897797	NC_035782.1
XR_002637913.1	42067845	42071120	NC_035782.1
XR_002638075.1	42071414	42072581	NC_035782.1
XR_002638222.1	42338152	42342382	NC_035782.1
XR_002638574.1	42363863	42367612	NC_035782.1
XR_002638575.1	42368155	42370834	NC_035782.1
XR_002638386.1	42452092	42453825	NC_035782.1
XR_002638387.1	42493938	42494666	NC_035782.1
XR_002638594.1	42532773	42536039	NC_035782.1
XR_002638590.1	42542397	42544936	NC_035782.1
XR_002638536.1	42798792	42800729	NC_035782.1
XR_002638531.1	43292171	43298761	NC_035782.1
XR_002638057.1	43835854	43840748	NC_035782.1
XR_002638412.1	43973158	43975550	NC_035782.1
XR_002638587.1	44966815	44984797	NC_035782.1
XR_002638538.1	45036311	45059750	NC_035782.1
XR_002638319.1	45639366	45645173	NC_035782.1
XR_002638113.1	45814842	45819597	NC_035782.1
XR_002638429.1	46582154	46585942	NC_035782.1
XR_002638067.1	46879522	46882688	NC_035782.1
XR_002638596.1	46947228	46951375	NC_035782.1
XR_002638369.1	47197296	47201925	NC_035782.1
XR_002638294.1	47780207	47783793	NC_035782.1
XR_002638225.1	47980423	47981172	NC_035782.1
XR_002638050.1	48524220	48524962	NC_035782.1
XR_002638060.1	48782098	48785163	NC_035782.1
XR_002638515.1	48871459	48872180	NC_035782.1
XR_002638521.1	49092651	49094228	NC_035782.1
XR_002638490.1	49126919	49128788	NC_035782.1
XR_002638039.1	49418265	49420913	NC_035782.1
XR_002638344.1	49751163	49753321	NC_035782.1
XR_002638117.1	49815038	49817320	NC_035782.1
XR_002637985.1	50711152	50714430	NC_035782.1
XR_002638525.1	50878424	50880732	NC_035782.1
XR_002638104.1	51054609	51057046	NC_035782.1
XR_002637949.1	51110710	51112948	NC_035782.1
XR_002638584.1	52217081	52220560	NC_035782.1
XR_002638605.1	52222014	52222731	NC_035782.1
XR_002638606.1	52226005	52226712	NC_035782.1
XR_002637914.1	52229198	52230292	NC_035782.1
XR_002637915.1	52233338	52234358	NC_035782.1
XR_002638444.1	52373883	52374474	NC_035782.1
XR_002638071.1	53943082	53943739	NC_035782.1
XR_002638438.1	54048500	54049945	NC_035782.1
XR_002638595.1	54203460	54204613	NC_035782.1
XR_002638599.1	54209445	54210363	NC_035782.1
XR_002638518.1	54227141	54228889	NC_035782.1
XR_002638210.1	54980917	54981859	NC_035782.1
XR_002638058.1	54988089	54988997	NC_035782.1
XR_002638111.1	55195693	55198057	NC_035782.1
XR_002637939.1	55241029	55247477	NC_035782.1
XR_002638471.1	55412560	55421760	NC_035782.1
XR_002638360.1	55747952	55748583	NC_035782.1
XR_002638361.1	55749231	55749459	NC_035782.1
XR_002638551.1	55772796	55774906	NC_035782.1
XR_002638567.1	56999382	57001472	NC_035782.1
XR_002637940.1	57491823	57496130	NC_035782.1
XR_002638462.1	58152419	58158163	NC_035782.1
XR_002638448.1	58235639	58237867	NC_035782.1
XR_002638141.1	58756128	58762452	NC_035782.1
XR_002638030.1	59393229	59396474	NC_035782.1
XR_002638105.1	59709409	59721228	NC_035782.1
XR_002638134.1	61325912	61332808	NC_035782.1
XR_002638578.1	61609808	61612760	NC_035782.1
XR_002638601.1	61663835	61664277	NC_035782.1
XR_002638585.1	61666098	61666740	NC_035782.1
XR_002637930.1	61750842	61751744	NC_035782.1
XR_002638456.1	61807544	61813393	NC_035782.1
XR_002637967.1	62056318	62058174	NC_035782.1
XR_002638085.1	62352404	62364449	NC_035782.1
XR_002638390.1	62475073	62475638	NC_035782.1
XR_002638379.1	62963541	62969920	NC_035782.1
XR_002638381.1	63081263	63083190	NC_035782.1
XR_002638345.1	63158878	63161676	NC_035782.1
XR_002637926.1	63397733	63405274	NC_035782.1
XR_002637965.1	63468531	63470817	NC_035782.1
XR_002638034.1	63715523	63717106	NC_035782.1
XR_002638036.1	63722719	63725799	NC_035782.1
XR_002638033.1	63856246	63857268	NC_035782.1
XR_002638037.1	63962721	63963816	NC_035782.1
XR_002638035.1	63981612	63983169	NC_035782.1
XR_002638032.1	63988997	63990919	NC_035782.1
XR_002638221.1	64214756	64215640	NC_035782.1
XR_002638583.1	64460434	64466019	NC_035782.1
XR_002638347.1	64748177	64752537	NC_035782.1
XR_002638098.1	65404303	65405226	NC_035782.1
XR_002638252.1	66015430	66015894	NC_035782.1
XR_002638251.1	66225470	66236494	NC_035782.1
XR_002638570.1	66551317	66556879	NC_035782.1
XR_002637927.1	67009804	67010850	NC_035782.1
XR_002638389.1	67507330	67514564	NC_035782.1
XR_002638607.1	68574312	68576250	NC_035782.1
XR_002638338.1	68691800	68694583	NC_035782.1
XR_002638581.1	68774294	68776093	NC_035782.1
XR_002638276.1	69234714	69235217	NC_035782.1
XR_002638275.1	69266108	69266611	NC_035782.1
XR_002638517.1	69416229	69420239	NC_035782.1
XR_002638548.1	70009162	70011318	NC_035782.1
XR_002638446.1	70626981	70634674	NC_035782.1
XR_002638552.1	71911289	71912934	NC_035782.1
XR_002638069.1	72379253	72381117	NC_035782.1
XR_002638019.1	72883925	72886455	NC_035782.1
XR_002637932.1	73156113	73156944	NC_035782.1
XR_002638542.1	73437231	73437678	NC_035782.1
XR_002638520.1	73663617	73666033	NC_035782.1
XR_002638447.1	73688825	73691479	NC_035782.1
XR_002637987.1	73899112	73900441	NC_035782.1
XR_002637989.1	74083557	74085541	NC_035782.1
XR_002638560.1	74220688	74225449	NC_035782.1
XR_002638489.1	74468604	74471093	NC_035782.1
XR_002638453.1	74550391	74553078	NC_035782.1
XR_002638479.1	75089591	75097797	NC_035782.1
XR_002638461.1	75166367	75170704	NC_035782.1
XR_002638372.1	75329761	75335873	NC_035782.1
XR_002638374.1	75343847	75344710	NC_035782.1
XR_002638474.1	75520450	75522601	NC_035782.1
XR_002638507.1	75955442	75969292	NC_035782.1
XR_002638500.1	75997724	76011419	NC_035782.1
XR_002638554.1	76148197	76150623	NC_035782.1
XR_002637973.1	76479540	76483428	NC_035782.1
XR_002638068.1	77030693	77045801	NC_035782.1
XR_002638915.1	81541	86766	NC_035783.1
XR_002638914.1	106163	108169	NC_035783.1
XR_002638913.1	160110	160975	NC_035783.1
XR_002638794.1	1049832	1054511	NC_035783.1
XR_002638796.1	1114447	1115249	NC_035783.1
XR_002638809.1	1265916	1267203	NC_035783.1
XR_002638999.1	1441701	1443787	NC_035783.1
XR_002638659.1	1444961	1448585	NC_035783.1
XR_002639059.1	2124218	2127083	NC_035783.1
XR_002639074.1	2450743	2453103	NC_035783.1
XR_002639093.1	2503780	2504385	NC_035783.1
XR_002638789.1	2604789	2607715	NC_035783.1
XR_002638654.1	2739727	2741132	NC_035783.1
XR_002638685.1	2759187	2760488	NC_035783.1
XR_002638655.1	2764381	2765387	NC_035783.1
XR_002638888.1	3121241	3124523	NC_035783.1
XR_002638889.1	3192832	3196198	NC_035783.1
XR_002639042.1	3434552	3435848	NC_035783.1
XR_002638681.1	3548685	3552704	NC_035783.1
XR_002638992.1	3580210	3587441	NC_035783.1
XR_002639105.1	3684602	3687857	NC_035783.1
XR_002638982.1	3798512	3807112	NC_035783.1
XR_002638980.1	5128669	5129993	NC_035783.1
XR_002639053.1	5563835	5565440	NC_035783.1
XR_002639077.1	5959839	5962616	NC_035783.1
XR_002638970.1	6847386	6854047	NC_035783.1
XR_002638657.1	8025887	8028417	NC_035783.1
XR_002638672.1	8205638	8207483	NC_035783.1
XR_002639089.1	8396525	8398520	NC_035783.1
XR_002638939.1	8535720	8536832	NC_035783.1
XR_002638829.1	8841043	8843507	NC_035783.1
XR_002638985.1	8865234	8867368	NC_035783.1
XR_002638986.1	8924037	8924439	NC_035783.1
XR_002638984.1	8982889	8984309	NC_035783.1
XR_002638651.1	8999792	9002659	NC_035783.1
XR_002638724.1	9091901	9092853	NC_035783.1
XR_002638821.1	9359040	9361025	NC_035783.1
XR_002638861.1	9726522	9735069	NC_035783.1
XR_002638860.1	9787111	9788839	NC_035783.1
XR_002639019.1	9842583	9846666	NC_035783.1
XR_002638706.1	10207257	10212721	NC_035783.1
XR_002638823.1	11892374	11893750	NC_035783.1
XR_002638824.1	11900463	11901569	NC_035783.1
XR_002638753.1	12242781	12245007	NC_035783.1
XR_002638929.1	12724439	12725856	NC_035783.1
XR_002638790.1	12749945	12753634	NC_035783.1
XR_002638653.1	13120715	13123574	NC_035783.1
XR_002638721.1	13138100	13139103	NC_035783.1
XR_002638816.1	13752025	13752779	NC_035783.1
XR_002638771.1	13808047	13812689	NC_035783.1
XR_002639005.1	13812835	13817459	NC_035783.1
XR_002638944.1	14808446	14811527	NC_035783.1
XR_002638652.1	14877247	14879259	NC_035783.1
XR_002639022.1	15427242	15430405	NC_035783.1
XR_002639047.1	15551680	15552864	NC_035783.1
XR_002639035.1	16279140	16283252	NC_035783.1
XR_002638937.1	16567015	16571008	NC_035783.1
XR_002639066.1	16888425	16892666	NC_035783.1
XR_002639069.1	17449583	17458784	NC_035783.1
XR_002638895.1	17677595	17679440	NC_035783.1
XR_002638770.1	17691578	17693698	NC_035783.1
XR_002638717.1	18753034	18755153	NC_035783.1
XR_002638687.1	19405480	19414629	NC_035783.1
XR_002638807.1	20088153	20088948	NC_035783.1
XR_002638808.1	20110479	20110952	NC_035783.1
XR_002638921.1	20445622	20447038	NC_035783.1
XR_002639083.1	20522901	20524489	NC_035783.1
XR_002639111.1	21315700	21317522	NC_035783.1
XR_002638731.1	21424343	21435805	NC_035783.1
XR_002638718.1	21445985	21448410	NC_035783.1
XR_002638730.1	21725935	21727870	NC_035783.1
XR_002638621.1	21791433	21793261	NC_035783.1
XR_002638768.1	22965619	22968945	NC_035783.1
XR_002638707.1	23167997	23169053	NC_035783.1
XR_002638693.1	23206697	23207967	NC_035783.1
XR_002638908.1	23355348	23361271	NC_035783.1
XR_002638825.1	23706309	23709592	NC_035783.1
XR_002638826.1	23725499	23728342	NC_035783.1
XR_002638827.1	23754913	23758307	NC_035783.1
XR_002638828.1	23779843	23782852	NC_035783.1
XR_002638875.1	23882646	23884213	NC_035783.1
XR_002638630.1	23933457	23934390	NC_035783.1
XR_002638765.1	24462143	24463892	NC_035783.1
XR_002639009.1	24464765	24472308	NC_035783.1
XR_002639091.1	24492502	24495099	NC_035783.1
XR_002639062.1	24587458	24594328	NC_035783.1
XR_002638761.1	24635017	24636389	NC_035783.1
XR_002638766.1	24637539	24638852	NC_035783.1
XR_002638704.1	24792124	24793673	NC_035783.1
XR_002638900.1	24989208	24989832	NC_035783.1
XR_002638901.1	24992863	24993437	NC_035783.1
XR_002638830.1	25347291	25348107	NC_035783.1
XR_002638631.1	25517664	25524102	NC_035783.1
XR_002638658.1	26550105	26550913	NC_035783.1
XR_002638665.1	26615044	26616775	NC_035783.1
XR_002639117.1	26800984	26802858	NC_035783.1
XR_002639104.1	27905588	27906844	NC_035783.1
XR_002638866.1	28331683	28334867	NC_035783.1
XR_002638867.1	28352192	28353203	NC_035783.1
XR_002638845.1	28501676	28503854	NC_035783.1
XR_002638852.1	28559342	28565176	NC_035783.1
XR_002638846.1	28636820	28638168	NC_035783.1
XR_002638844.1	28799583	28803056	NC_035783.1
XR_002638842.1	28802992	28805831	NC_035783.1
XR_002638851.1	29140037	29165934	NC_035783.1
XR_002638979.1	29713913	29732890	NC_035783.1
XR_002638763.1	29887200	29889174	NC_035783.1
XR_002638988.1	29967240	29973136	NC_035783.1
XR_002638791.1	30195956	30201040	NC_035783.1
XR_002639051.1	30553132	30555584	NC_035783.1
XR_002639050.1	30555586	30557981	NC_035783.1
XR_002638933.1	30803799	30806618	NC_035783.1
XR_002638737.1	31849436	31850590	NC_035783.1
XR_002638738.1	32022648	32028490	NC_035783.1
XR_002638810.1	32339811	32345618	NC_035783.1
XR_002639099.1	32612004	32617881	NC_035783.1
XR_002638645.1	32806705	32809212	NC_035783.1
XR_002638853.1	33039962	33041111	NC_035783.1
XR_002638800.1	33835037	33836376	NC_035783.1
XR_002638997.1	33898305	33901245	NC_035783.1
XR_002639055.1	34373792	34374594	NC_035783.1
XR_002638806.1	34612915	34613877	NC_035783.1
XR_002639075.1	35010115	35014470	NC_035783.1
XR_002638662.1	35385035	35386941	NC_035783.1
XR_002638892.1	35522813	35523525	NC_035783.1
XR_002639007.1	35864093	35865676	NC_035783.1
XR_002638691.1	36892348	36893126	NC_035783.1
XR_002639113.1	37335142	37335669	NC_035783.1
XR_002639112.1	37336937	37337659	NC_035783.1
XR_002638749.1	37354087	37361010	NC_035783.1
XR_002638644.1	37382417	37386886	NC_035783.1
XR_002639065.1	37700054	37710907	NC_035783.1
XR_002639120.1	38066334	38066861	NC_035783.1
XR_002639086.1	38082660	38083168	NC_035783.1
XR_002639085.1	38099574	38104173	NC_035783.1
XR_002639067.1	38235580	38238593	NC_035783.1
XR_002638714.1	38460002	38478444	NC_035783.1
XR_002638715.1	38461925	38464969	NC_035783.1
XR_002638638.1	38652291	38652919	NC_035783.1
XR_002638919.1	38927720	38933090	NC_035783.1
XR_002638917.1	38946424	38947801	NC_035783.1
XR_002639107.1	39100186	39102589	NC_035783.1
XR_002638832.1	39288410	39289063	NC_035783.1
XR_002639025.1	39474555	39476016	NC_035783.1
XR_002639023.1	39476041	39479647	NC_035783.1
XR_002639080.1	40598674	40606065	NC_035783.1
XR_002638891.1	40907983	40922066	NC_035783.1
XR_002638890.1	40946447	40949131	NC_035783.1
XR_002638705.1	40953018	40962695	NC_035783.1
XR_002638784.1	41079508	41083010	NC_035783.1
XR_002638710.1	41130628	41133386	NC_035783.1
XR_002638712.1	41133613	41136071	NC_035783.1
XR_002638648.1	42326294	42334142	NC_035783.1
XR_002638987.1	42375405	42376956	NC_035783.1
XR_002638754.1	42474793	42477423	NC_035783.1
XR_002638656.1	42996006	42998791	NC_035783.1
XR_002639102.1	43130749	43140441	NC_035783.1
XR_002639058.1	43515576	43517314	NC_035783.1
XR_002638787.1	43619135	43619914	NC_035783.1
XR_002639012.1	43843207	43843648	NC_035783.1
XR_002639057.1	44060755	44061557	NC_035783.1
XR_002638727.1	44480481	44482605	NC_035783.1
XR_002638728.1	44482586	44484650	NC_035783.1
XR_002638745.1	44848297	44853917	NC_035783.1
XR_002638708.1	44965540	44967084	NC_035783.1
XR_002638692.1	44973904	44976046	NC_035783.1
XR_002639088.1	45234704	45238557	NC_035783.1
XR_002638769.1	45785392	45787560	NC_035783.1
XR_002638883.1	45790724	45799907	NC_035783.1
XR_002638882.1	45798653	45799920	NC_035783.1
XR_002638625.1	45978307	45980618	NC_035783.1
XR_002638624.1	46067875	46068633	NC_035783.1
XR_002639054.1	46176408	46178808	NC_035783.1
XR_002638626.1	46334490	46336897	NC_035783.1
XR_002639095.1	46339836	46341216	NC_035783.1
XR_002638697.1	46427709	46429093	NC_035783.1
XR_002638831.1	46807643	46808202	NC_035783.1
XR_002638902.1	46999793	47000456	NC_035783.1
XR_002639061.1	47059306	47062610	NC_035783.1
XR_002638667.1	47162307	47162811	NC_035783.1
XR_002638976.1	47484871	47487250	NC_035783.1
XR_002639094.1	47649583	47671368	NC_035783.1
XR_002639011.1	47810577	47812731	NC_035783.1
XR_002638702.1	48042561	48045228	NC_035783.1
XR_002639108.1	48049857	48050259	NC_035783.1
XR_002638871.1	48291517	48303328	NC_035783.1
XR_002639087.1	48512749	48532229	NC_035783.1
XR_002638927.1	48541757	48542125	NC_035783.1
XR_002638798.1	48688942	48708891	NC_035783.1
XR_002639006.1	48848610	48873761	NC_035783.1
XR_002639037.1	48936805	48940697	NC_035783.1
XR_002639097.1	48990444	48997858	NC_035783.1
XR_002639098.1	48990743	49010297	NC_035783.1
XR_002639096.1	49017275	49024789	NC_035783.1
XR_002638663.1	49043982	49051141	NC_035783.1
XR_002639121.1	49499162	49510057	NC_035783.1
XR_002638696.1	49577293	49578096	NC_035783.1
XR_002638719.1	49660656	49664728	NC_035783.1
XR_002638686.1	49686947	49688636	NC_035783.1
XR_002638666.1	49738427	49740282	NC_035783.1
XR_002638801.1	49887386	49888354	NC_035783.1
XR_002638815.1	49902552	49908991	NC_035783.1
XR_002638779.1	50018286	50020300	NC_035783.1
XR_002638752.1	50227140	50229981	NC_035783.1
XR_002638750.1	50247848	50250144	NC_035783.1
XR_002639003.1	50274815	50283930	NC_035783.1
XR_002639028.1	50360098	50366601	NC_035783.1
XR_002639032.1	50360874	50361606	NC_035783.1
XR_002639030.1	50366606	50370512	NC_035783.1
XR_002638758.1	50373946	50383620	NC_035783.1
XR_002639122.1	50843353	50846057	NC_035783.1
XR_002639048.1	50848032	50852213	NC_035783.1
XR_002638747.1	50864427	50870316	NC_035783.1
XR_002638778.1	50875641	50877954	NC_035783.1
XR_002638777.1	50877962	50882391	NC_035783.1
XR_002639076.1	50928981	50930746	NC_035783.1
XR_002639070.1	51105256	51107607	NC_035783.1
XR_002638674.1	51120711	51127258	NC_035783.1
XR_002638729.1	51846350	51850013	NC_035783.1
XR_002638684.1	52108844	52114323	NC_035783.1
XR_002638720.1	52582451	52587140	NC_035783.1
XR_002639008.1	52700248	52701231	NC_035783.1
XR_002638740.1	52712802	52746267	NC_035783.1
XR_002638782.1	52856492	52859946	NC_035783.1
XR_002638940.1	53308106	53310249	NC_035783.1
XR_002638894.1	53452079	53484811	NC_035783.1
XR_002638641.1	53683008	53684378	NC_035783.1
XR_002638639.1	53699415	53704155	NC_035783.1
XR_002638642.1	53737581	53738431	NC_035783.1
XR_002638640.1	53779664	53782630	NC_035783.1
XR_002638709.1	53866058	53869519	NC_035783.1
XR_002638677.1	54078610	54081705	NC_035783.1
XR_002638744.1	54084858	54086491	NC_035783.1
XR_002638703.1	54149244	54153693	NC_035783.1
XR_002638973.1	54276994	54283361	NC_035783.1
XR_002638936.1	54501989	54517383	NC_035783.1
XR_002638887.1	54988367	54990365	NC_035783.1
XR_002639090.1	55085882	55089667	NC_035783.1
XR_002638942.1	55212692	55215894	NC_035783.1
XR_002638700.1	55269621	55272094	NC_035783.1
XR_002638950.1	55526676	55532914	NC_035783.1
XR_002638855.1	55680946	55687117	NC_035783.1
XR_002638716.1	55956437	55958284	NC_035783.1
XR_002638670.1	56400124	56401091	NC_035783.1
XR_002638922.1	56903937	56907532	NC_035783.1
XR_002639071.1	57167711	57180985	NC_035783.1
XR_002638912.1	57310234	57319161	NC_035783.1
XR_002638678.1	57326840	57328148	NC_035783.1
XR_002639002.1	57835759	57837060	NC_035783.1
XR_002639000.1	57861695	57868635	NC_035783.1
XR_002639092.1	57876021	57876758	NC_035783.1
XR_002639001.1	57886505	57888952	NC_035783.1
XR_002638742.1	58660470	58661064	NC_035783.1
XR_002638743.1	59083092	59088849	NC_035783.1
XR_002639033.1	59245866	59246704	NC_035783.1
XR_002638669.1	59378560	59379566	NC_035783.1
XR_002638819.1	59541220	59544883	NC_035783.1
XR_002638820.1	59610140	59627822	NC_035783.1
XR_002639044.1	59682739	59688441	NC_035783.1
XR_002639947.1	480877	482675	NC_035784.1
XR_002639946.1	484794	487327	NC_035784.1
XR_002639488.1	614000	620355	NC_035784.1
XR_002639487.1	626552	650625	NC_035784.1
