XP	start	end	chr
XP_022298386.1	22192880	22208826	NC_035787.1
XP_022298387.1	22192880	22208826	NC_035787.1
XP_022298388.1	2458759	2458759	NC_035787.1
XP_022298389.1	39875372	39895341	NC_035780.1
XP_022298390.1	2464007	2487171	NC_035787.1
XP_022298391.1	2513747	2515377	NC_035787.1
XP_022298392.1	2638948	2649139	NC_035787.1
XP_022298393.1	2893371	2893371	NC_035787.1
XP_022298394.1	57985393	57986232	NC_035787.1
XP_022298395.1	3089767	3092242	NC_035787.1
XP_022298396.1	3167316	3169393	NC_035787.1
XP_022298397.1	3171824	3175547	NC_035787.1
XP_022298398.1	3186884	3189386	NC_035787.1
XP_022298399.1	3210166	3222206	NC_035787.1
XP_022298400.1	3321566	3364402	NC_035787.1
XP_022298401.1	3568397	3570743	NC_035787.1
XP_022298402.1	3765494	3782398	NC_035787.1
XP_022298403.1	75205834	75211070	NC_035787.1
XP_022298404.1	75216911	75225418	NC_035787.1
XP_022298405.1	75216911	75225418	NC_035787.1
XP_022298406.1	54278401	54279299	NC_035787.1
XP_022298407.1	39926350	39926350	NC_035780.1
XP_022298408.1	33037494	33069190	NC_035787.1
XP_022298409.1	33337103	33337103	NC_035787.1
XP_022298410.1	33248283	33260362	NC_035787.1
XP_022298411.1	33248283	33260362	NC_035787.1
XP_022298412.1	33234947	33244542	NC_035787.1
XP_022298413.1	33236740	33244542	NC_035787.1
XP_022298414.1	33234947	33244542	NC_035787.1
XP_022298415.1	33141817	33152513	NC_035787.1
XP_022298416.1	33141817	33152513	NC_035787.1
XP_022298417.1	33225447	33229242	NC_035787.1
XP_022298418.1	33225447	33229242	NC_035787.1
XP_022298419.1	39976706	39977613	NC_035780.1
XP_022298420.1	33099653	33104448	NC_035787.1
XP_022298421.1	33118746	33123515	NC_035787.1
XP_022298422.1	33125584	33132442	NC_035787.1
XP_022298423.1	33314277	33317268	NC_035787.1
XP_022298424.1	33304168	33317268	NC_035787.1
XP_022298425.1	33304168	33306227	NC_035787.1
XP_022298426.1	33109324	33111086	NC_035787.1
XP_022298427.1	33272857	33273639	NC_035787.1
XP_022298428.1	33105720	33108149	NC_035787.1
XP_022298429.1	33310466	33311743	NC_035787.1
XP_022298430.1	33310466	33311743	NC_035787.1
XP_022298431.1	40257326	40257326	NC_035780.1
XP_022298432.1	33081022	33085561	NC_035787.1
XP_022298433.1	33281511	33282232	NC_035787.1
XP_022298434.1	33093520	33096166	NC_035787.1
XP_022298435.1	33265258	33265865	NC_035787.1
XP_022298436.1	4270934	4279331	NC_035787.1
XP_022298437.1	51259161	51262993	NC_035787.1
XP_022298438.1	51252922	51256453	NC_035787.1
XP_022298439.1	12446981	12458170	NC_035780.1
XP_022298440.1	40265509	40265509	NC_035780.1
XP_022298441.1	51243742	51247916	NC_035787.1
XP_022298442.1	51243169	51247916	NC_035787.1
XP_022298443.1	51243742	51247916	NC_035787.1
XP_022298444.1	51284547	51289449	NC_035787.1
XP_022298445.1	51235900	51239045	NC_035787.1
XP_022298446.1	4878411	4893512	NC_035787.1
XP_022298447.1	14205224	14221817	NC_035787.1
XP_022298448.1	14222722	14234904	NC_035787.1
XP_022298449.1	5003536	5008621	NC_035787.1
XP_022298450.1	5180998	5180998	NC_035787.1
XP_022298451.1	40425975	40430127	NC_035780.1
XP_022298452.1	5409322	5410428	NC_035787.1
XP_022298453.1	75006616	75045937	NC_035787.1
XP_022298454.1	75006616	75045937	NC_035787.1
XP_022298455.1	75006616	75045937	NC_035787.1
XP_022298456.1	75006616	75045937	NC_035787.1
XP_022298457.1	75006616	75045937	NC_035787.1
XP_022298458.1	75006616	75045937	NC_035787.1
XP_022298459.1	75006616	75045937	NC_035787.1
XP_022298460.1	75006616	75045937	NC_035787.1
XP_022298461.1	75006616	75045937	NC_035787.1
XP_022298462.1	75006616	75045937	NC_035787.1
XP_022298463.1	75006616	75045937	NC_035787.1
XP_022298464.1	75006616	75045937	NC_035787.1
XP_022298465.1	75006616	75045937	NC_035787.1
XP_022298466.1	75006616	75045937	NC_035787.1
XP_022298467.1	75006616	75045937	NC_035787.1
XP_022298468.1	75006616	75045937	NC_035787.1
XP_022298469.1	31223600	31230082	NC_035787.1
XP_022298470.1	31223600	31230082	NC_035787.1
XP_022298471.1	31223600	31230082	NC_035787.1
XP_022298472.1	31223596	31230082	NC_035787.1
XP_022298473.1	31275871	31283292	NC_035787.1
XP_022298474.1	31247785	31247904	NC_035787.1
XP_022298475.1	31247781	31247920	NC_035787.1
XP_022298476.1	31249272	31260456	NC_035787.1
XP_022298477.1	41244253	41244253	NC_035780.1
XP_022298478.1	31249272	31261602	NC_035787.1
XP_022298479.1	31249272	31261602	NC_035787.1
XP_022298480.1	31249272	31261602	NC_035787.1
XP_022298481.1	31249272	31261602	NC_035787.1
XP_022298482.1	31249272	31261602	NC_035787.1
XP_022298483.1	5592389	5592389	NC_035787.1
XP_022298484.1	5995698	6000170	NC_035787.1
XP_022298485.1	6012090	6013506	NC_035787.1
XP_022298486.1	6054785	6055518	NC_035787.1
XP_022298487.1	6155726	6257575	NC_035787.1
XP_022298488.1	41281006	41286536	NC_035780.1
XP_022298489.1	6282614	6293983	NC_035787.1
XP_022298490.1	6339714	6343056	NC_035787.1
XP_022298491.1	6504430	6504430	NC_035787.1
XP_022298492.1	6615365	6634641	NC_035787.1
XP_022298493.1	6976067	6976067	NC_035787.1
XP_022298494.1	7050572	7056420	NC_035787.1
XP_022298495.1	7292740	7294452	NC_035787.1
XP_022298496.1	23654432	23670721	NC_035787.1
XP_022298497.1	23680674	23683298	NC_035787.1
XP_022298498.1	7745847	7749969	NC_035787.1
XP_022298499.1	42820221	42831523	NC_035787.1
XP_022298500.1	42820221	42831523	NC_035787.1
XP_022298501.1	42820221	42831523	NC_035787.1
XP_022298502.1	42820221	42831523	NC_035787.1
XP_022298503.1	42820221	42831523	NC_035787.1
XP_022298504.1	42820221	42831523	NC_035787.1
XP_022298505.1	42820221	42831523	NC_035787.1
XP_022298506.1	42820221	42831523	NC_035787.1
XP_022298507.1	42820728	42831523	NC_035787.1
XP_022298508.1	42811742	42811742	NC_035787.1
XP_022298509.1	42315888	42317688	NC_035780.1
XP_022298510.1	42803739	42805993	NC_035787.1
XP_022298511.1	42803739	42805993	NC_035787.1
XP_022298512.1	58526835	58538787	NC_035787.1
XP_022298513.1	58526835	58538787	NC_035787.1
XP_022298514.1	58526835	58538787	NC_035787.1
XP_022298515.1	58526835	58538055	NC_035787.1
XP_022298516.1	58526835	58538055	NC_035787.1
XP_022298517.1	58573806	58601986	NC_035787.1
XP_022298518.1	8368537	8368537	NC_035787.1
XP_022298519.1	47767297	47773597	NC_035787.1
XP_022298520.1	47749900	47749900	NC_035787.1
XP_022298521.1	42516647	42519647	NC_035780.1
XP_022298522.1	47749900	47749900	NC_035787.1
XP_022298523.1	47749900	47749900	NC_035787.1
XP_022298524.1	47752753	47755190	NC_035787.1
XP_022298525.1	47740401	47746340	NC_035787.1
XP_022298526.1	47741613	47746340	NC_035787.1
XP_022298527.1	62243969	62256588	NC_035787.1
XP_022298528.1	62243969	62249559	NC_035787.1
XP_022298529.1	62252385	62256588	NC_035787.1
XP_022298530.1	8397779	8415145	NC_035787.1
XP_022298531.1	42667193	42670158	NC_035780.1
XP_022298532.1	8471575	8471575	NC_035787.1
XP_022298533.1	8528303	8529008	NC_035787.1
XP_022298534.1	8604933	8618493	NC_035787.1
XP_022298535.1	3473015	3521614	NC_035787.1
XP_022298536.1	3483238	3486111	NC_035787.1
XP_022298537.1	3483238	3486111	NC_035787.1
XP_022298538.1	3493342	3495700	NC_035787.1
XP_022298539.1	8787184	8792294	NC_035787.1
XP_022298540.1	8861087	8862781	NC_035787.1
XP_022298541.1	8923206	8923206	NC_035787.1
XP_022298542.1	8924024	8924024	NC_035787.1
XP_022298543.1	59251981	59260537	NC_035787.1
XP_022298544.1	59251981	59258708	NC_035787.1
XP_022298545.1	59326864	59347214	NC_035787.1
XP_022298546.1	59326864	59347214	NC_035787.1
XP_022298547.1	59326864	59355982	NC_035787.1
XP_022298548.1	59326864	59355982	NC_035787.1
XP_022298549.1	59326864	59337469	NC_035787.1
XP_022298550.1	45968780	45973699	NC_035787.1
XP_022298551.1	45968780	45970287	NC_035787.1
XP_022298552.1	50267233	50270546	NC_035780.1
XP_022298553.1	43014784	43019578	NC_035780.1
XP_022298554.1	45968780	45970287	NC_035787.1
XP_022298555.1	8935246	8935246	NC_035787.1
XP_022298556.1	8952089	8952089	NC_035787.1
XP_022298557.1	8960329	8960329	NC_035787.1
XP_022298558.1	8974981	8974981	NC_035787.1
XP_022298559.1	8990540	8991255	NC_035787.1
XP_022298560.1	9342595	9344197	NC_035787.1
XP_022298561.1	15391546	15490468	NC_035787.1
XP_022298562.1	15482304	15490468	NC_035787.1
XP_022298563.1	43107225	43120370	NC_035780.1
XP_022298564.1	15450210	15450210	NC_035787.1
XP_022298565.1	55425483	55433901	NC_035787.1
XP_022298566.1	55425483	55432236	NC_035787.1
XP_022298567.1	9850049	9850206	NC_035787.1
XP_022298568.1	9908542	9909289	NC_035787.1
XP_022298569.1	9913642	9925355	NC_035787.1
XP_022298570.1	51797188	51812692	NC_035787.1
XP_022298571.1	51797188	51812692	NC_035787.1
XP_022298572.1	51797188	51812692	NC_035787.1
XP_022298573.1	51797188	51812692	NC_035787.1
XP_022298574.1	43168853	43171236	NC_035780.1
XP_022298575.1	51797188	51812692	NC_035787.1
XP_022298576.1	51797188	51812692	NC_035787.1
XP_022298577.1	51797188	51812692	NC_035787.1
XP_022298578.1	51832069	51836718	NC_035787.1
XP_022298579.1	51832069	51836718	NC_035787.1
XP_022298580.1	51818344	51823557	NC_035787.1
XP_022298581.1	9928564	9930338	NC_035787.1
XP_022298582.1	9937717	9937717	NC_035787.1
XP_022298583.1	9951438	9952102	NC_035787.1
XP_022298584.1	64856216	64885575	NC_035787.1
XP_022298585.1	64856216	64885575	NC_035787.1
XP_022298586.1	64856216	64871262	NC_035787.1
XP_022298587.1	43179651	43198738	NC_035780.1
XP_022298588.1	10057007	10057968	NC_035787.1
XP_022298589.1	10196598	10199898	NC_035787.1
XP_022298590.1	44778829	44789141	NC_035787.1
XP_022298591.1	44778829	44789141	NC_035787.1
XP_022298592.1	44806523	44809826	NC_035787.1
XP_022298593.1	44794843	44797536	NC_035787.1
XP_022298594.1	44800689	44803473	NC_035787.1
XP_022298595.1	10234477	10235848	NC_035787.1
XP_022298596.1	10237757	10239947	NC_035787.1
XP_022298597.1	10354768	10362458	NC_035787.1
XP_022298598.1	10586937	10593884	NC_035787.1
XP_022298599.1	10784085	10784085	NC_035787.1
XP_022298600.1	10916245	10916245	NC_035787.1
XP_022298601.1	10920256	10935350	NC_035787.1
XP_022298602.1	59151516	59194606	NC_035787.1
XP_022298603.1	59151516	59194606	NC_035787.1
XP_022298604.1	59151516	59194606	NC_035787.1
XP_022298605.1	59151516	59194606	NC_035787.1
XP_022298606.1	59151516	59194606	NC_035787.1
XP_022298607.1	59166603	59168275	NC_035787.1
XP_022298608.1	43370087	43372636	NC_035780.1
XP_022298609.1	11052210	11052210	NC_035787.1
XP_022298610.1	11539581	11543047	NC_035787.1
XP_022298611.1	11975579	11978798	NC_035787.1
XP_022298612.1	12021306	12022055	NC_035787.1
XP_022298613.1	41009825	41045910	NC_035787.1
XP_022298614.1	41009825	41045910	NC_035787.1
XP_022298615.1	41009825	41045910	NC_035787.1
XP_022298616.1	41009825	41045910	NC_035787.1
XP_022298617.1	40977486	40977486	NC_035787.1
XP_022298618.1	41884732	41884732	NC_035787.1
XP_022298619.1	42044862	42044862	NC_035787.1
XP_022298620.1	43449957	43463724	NC_035780.1
XP_022298621.1	41064711	41064711	NC_035787.1
XP_022298622.1	42180801	42180801	NC_035787.1
XP_022298623.1	41324537	41324537	NC_035787.1
XP_022298624.1	41324537	41324537	NC_035787.1
XP_022298625.1	41157095	41157095	NC_035787.1
XP_022298626.1	41989566	41989566	NC_035787.1
XP_022298627.1	50267233	50270546	NC_035780.1
XP_022298628.1	41210375	41210375	NC_035787.1
XP_022298629.1	41210375	41210375	NC_035787.1
XP_022298630.1	41495873	41495873	NC_035787.1
XP_022298631.1	41411413	41411413	NC_035787.1
XP_022298632.1	42450516	42450516	NC_035787.1
XP_022298633.1	41383049	41383049	NC_035787.1
XP_022298634.1	41903241	41903241	NC_035787.1
XP_022298635.1	42352650	42352650	NC_035787.1
XP_022298636.1	41099822	41099822	NC_035787.1
XP_022298637.1	42418719	42418719	NC_035787.1
XP_022298638.1	42488671	42488671	NC_035787.1
XP_022298639.1	41120729	41120729	NC_035787.1
XP_022298640.1	42163456	42163456	NC_035787.1
XP_022298641.1	42223398	42223555	NC_035787.1
XP_022298642.1	43694352	43704307	NC_035780.1
XP_022298643.1	41197622	41197622	NC_035787.1
XP_022298644.1	42192014	42192014	NC_035787.1
XP_022298645.1	42277868	42278658	NC_035787.1
XP_022298646.1	41847945	41847945	NC_035787.1
XP_022298647.1	41299303	41299303	NC_035787.1
XP_022298648.1	42247729	42250733	NC_035787.1
XP_022298649.1	40967389	40967389	NC_035787.1
XP_022298650.1	41049966	41053250	NC_035787.1
XP_022298651.1	42325081	42325913	NC_035787.1
XP_022298652.1	41620607	41621062	NC_035787.1
XP_022298653.1	43770292	43770292	NC_035780.1
XP_022298654.1	41268344	41274852	NC_035787.1
XP_022298655.1	41268344	41274852	NC_035787.1
XP_022298656.1	41268344	41274852	NC_035787.1
XP_022298657.1	41269916	41274852	NC_035787.1
XP_022298658.1	41269916	41274852	NC_035787.1
XP_022298659.1	41269916	41274852	NC_035787.1
XP_022298660.1	41387189	41393576	NC_035787.1
XP_022298661.1	41387189	41393576	NC_035787.1
XP_022298662.1	41971418	41975117	NC_035787.1
XP_022298663.1	42318782	42333015	NC_035787.1
XP_022298664.1	42318782	42333015	NC_035787.1
XP_022298665.1	42318782	42333015	NC_035787.1
XP_022298666.1	42318782	42333015	NC_035787.1
XP_022298667.1	43833130	43837415	NC_035780.1
XP_022298668.1	41103741	41110875	NC_035787.1
XP_022298669.1	41103741	41110875	NC_035787.1
XP_022298670.1	41105295	41110875	NC_035787.1
XP_022298671.1	41070931	41077847	NC_035787.1
XP_022298672.1	41070931	41077847	NC_035787.1
XP_022298673.1	41072466	41077847	NC_035787.1
XP_022298674.1	41072466	41077847	NC_035787.1
XP_022298675.1	42051082	42092576	NC_035787.1
XP_022298676.1	42051082	42092576	NC_035787.1
XP_022298677.1	42051082	42092576	NC_035787.1
XP_022298678.1	42051082	42058004	NC_035787.1
XP_022298679.1	42051082	42092576	NC_035787.1
XP_022298680.1	42052623	42092576	NC_035787.1
XP_022298681.1	42052623	42092576	NC_035787.1
XP_022298682.1	43853675	43864264	NC_035780.1
XP_022298683.1	42493725	42506523	NC_035787.1
XP_022298684.1	42493725	42506523	NC_035787.1
XP_022298685.1	42495256	42506523	NC_035787.1
XP_022298686.1	41707357	41714195	NC_035787.1
XP_022298687.1	41707357	41714195	NC_035787.1
XP_022298688.1	41707357	41714195	NC_035787.1
XP_022298689.1	41707357	41714195	NC_035787.1
XP_022298690.1	41707357	41714195	NC_035787.1
XP_022298691.1	42283121	42290278	NC_035787.1
XP_022298692.1	42283744	42290278	NC_035787.1
XP_022298693.1	42285330	42290278	NC_035787.1
XP_022298694.1	42456574	42472353	NC_035787.1
XP_022298695.1	42456574	42472353	NC_035787.1
XP_022298696.1	44000736	44002998	NC_035780.1
XP_022298697.1	41523201	41530758	NC_035787.1
XP_022298698.1	41217855	41230575	NC_035787.1
XP_022298699.1	41217855	41223742	NC_035787.1
XP_022298700.1	41217855	41230575	NC_035787.1
XP_022298701.1	41742305	41749494	NC_035787.1
XP_022298702.1	41742305	41782351	NC_035787.1
XP_022298703.1	41744016	41749494	NC_035787.1
XP_022298704.1	41345600	41352914	NC_035787.1
XP_022298705.1	41347134	41352914	NC_035787.1
XP_022298706.1	41425831	41458859	NC_035787.1
XP_022298707.1	41976977	41979083	NC_035787.1
XP_022298708.1	41976977	41980366	NC_035787.1
XP_022298709.1	44030601	44036033	NC_035780.1
XP_022298710.1	41976977	41980366	NC_035787.1
XP_022298711.1	41976977	41980816	NC_035787.1
XP_022298712.1	41976977	41978875	NC_035787.1
XP_022298713.1	41504108	41507648	NC_035787.1
XP_022298714.1	50267233	50270546	NC_035780.1
XP_022298715.1	41915672	41925365	NC_035787.1
XP_022298716.1	41917144	41925365	NC_035787.1
XP_022298717.1	41313882	41319468	NC_035787.1
XP_022298718.1	41618397	41619412	NC_035787.1
XP_022298719.1	41864051	41869022	NC_035787.1
XP_022298720.1	41648133	41649400	NC_035787.1
XP_022298721.1	41166953	41201083	NC_035787.1
XP_022298722.1	44337415	44337415	NC_035780.1
XP_022298723.1	40998265	41000661	NC_035787.1
XP_022298724.1	41245046	41246059	NC_035787.1
XP_022298725.1	41858711	41862431	NC_035787.1
XP_022298726.1	42103951	42103951	NC_035787.1
XP_022298727.1	41434968	41442622	NC_035787.1
XP_022298728.1	41434968	41442622	NC_035787.1
XP_022298729.1	41434968	41442622	NC_035787.1
XP_022298730.1	41360187	41361888	NC_035787.1
XP_022298731.1	44721241	44738712	NC_035780.1
XP_022298732.1	41131946	41133611	NC_035787.1
XP_022298733.1	41132966	41133611	NC_035787.1
XP_022298734.1	40995417	40997752	NC_035787.1
XP_022298735.1	42076598	42079086	NC_035787.1
XP_022298736.1	12030395	12030534	NC_035787.1
XP_022298737.1	45009679	45013403	NC_035780.1
XP_022298738.1	12136846	12167268	NC_035787.1
XP_022298739.1	12330891	12330891	NC_035787.1
XP_022298740.1	12337168	12337168	NC_035787.1
XP_022298741.1	12351181	12352960	NC_035787.1
XP_022298742.1	12368182	12369510	NC_035787.1
XP_022298743.1	12428262	12429982	NC_035787.1
XP_022298744.1	55323095	55369127	NC_035787.1
XP_022298745.1	55323095	55369127	NC_035787.1
XP_022298746.1	55323095	55369127	NC_035787.1
XP_022298747.1	55323095	55369127	NC_035787.1
XP_022298748.1	45013743	45024557	NC_035780.1
XP_022298749.1	55323095	55369127	NC_035787.1
XP_022298750.1	55340702	55342543	NC_035787.1
XP_022298751.1	12582311	12589027	NC_035787.1
XP_022298752.1	12715038	12735035	NC_035787.1
XP_022298753.1	12805713	12808237	NC_035787.1
XP_022298754.1	12814085	12826546	NC_035787.1
XP_022298755.1	57471996	57488555	NC_035787.1
XP_022298756.1	57453159	57488555	NC_035787.1
XP_022298757.1	12871155	12879549	NC_035787.1
XP_022298758.1	12883289	12886101	NC_035787.1
XP_022298759.1	12942330	12948299	NC_035787.1
XP_022298760.1	45168820	45170811	NC_035780.1
XP_022298761.1	36181960	36201561	NC_035787.1
XP_022298762.1	36181960	36201561	NC_035787.1
XP_022298763.1	36181960	36201561	NC_035787.1
XP_022298764.1	36181960	36196264	NC_035787.1
XP_022298765.1	36181960	36198438	NC_035787.1
XP_022298766.1	36181960	36196270	NC_035787.1
XP_022298767.1	36181960	36194656	NC_035787.1
XP_022298768.1	36202456	36202456	NC_035787.1
XP_022298769.1	36202456	36202456	NC_035787.1
XP_022298770.1	13266395	13269965	NC_035787.1
XP_022298771.1	45181843	45184841	NC_035780.1
XP_022298772.1	71811375	71845429	NC_035787.1
XP_022298773.1	71813477	71845429	NC_035787.1
XP_022298774.1	71811375	71845429	NC_035787.1
XP_022298775.1	71811375	71845429	NC_035787.1
XP_022298776.1	71811375	71845429	NC_035787.1
XP_022298777.1	71811375	71845429	NC_035787.1
XP_022298778.1	71811375	71844403	NC_035787.1
XP_022298779.1	71811375	71844403	NC_035787.1
XP_022298780.1	71817853	71845429	NC_035787.1
XP_022298781.1	71811375	71845429	NC_035787.1
XP_022298782.1	71811375	71845429	NC_035787.1
XP_022298783.1	13391551	13400019	NC_035787.1
XP_022298784.1	6879136	6885141	NC_035787.1
XP_022298785.1	45186546	45186546	NC_035780.1
XP_022298786.1	6859309	6868194	NC_035787.1
XP_022298787.1	6930862	6947330	NC_035787.1
XP_022298788.1	6930862	6947330	NC_035787.1
XP_022298789.1	6956850	6961806	NC_035787.1
XP_022298790.1	6906883	6908652	NC_035787.1
XP_022298791.1	6906883	6908652	NC_035787.1
XP_022298792.1	6900256	6906975	NC_035787.1
XP_022298793.1	6900256	6905239	NC_035787.1
XP_022298794.1	6907081	6908652	NC_035787.1
XP_022298795.1	6874164	6875246	NC_035787.1
XP_022298796.1	45188073	45204976	NC_035780.1
XP_022298797.1	13542148	13546920	NC_035787.1
XP_022298798.1	65180636	65180636	NC_035787.1
XP_022298799.1	65186924	65187710	NC_035787.1
XP_022298800.1	65186924	65187728	NC_035787.1
XP_022298801.1	65199320	65200516	NC_035787.1
XP_022298802.1	65196942	65197953	NC_035787.1
XP_022298803.1	65189996	65191018	NC_035787.1
XP_022298804.1	65205338	65206574	NC_035787.1
XP_022298805.1	65201997	65202921	NC_035787.1
XP_022298806.1	45773728	45775858	NC_035780.1
XP_022298807.1	70567907	70584800	NC_035787.1
XP_022298808.1	70567907	70584800	NC_035787.1
XP_022298809.1	70567907	70584800	NC_035787.1
XP_022298810.1	6066032	6155469	NC_035787.1
XP_022298811.1	13666582	13671963	NC_035787.1
XP_022298812.1	54648889	54663845	NC_035787.1
XP_022298813.1	54648889	54663845	NC_035787.1
XP_022298814.1	13679331	13679331	NC_035787.1
XP_022298815.1	13574620	13581325	NC_035787.1
XP_022298816.1	13582095	13588804	NC_035787.1
XP_022298817.1	45946655	45949517	NC_035780.1
XP_022298818.1	54247766	54272875	NC_035787.1
XP_022298819.1	54257863	54272875	NC_035787.1
XP_022298820.1	54261716	54272875	NC_035787.1
XP_022298821.1	13683759	13683759	NC_035787.1
XP_022298822.1	70378515	70452456	NC_035787.1
XP_022298823.1	70378515	70452456	NC_035787.1
XP_022298824.1	70378515	70452456	NC_035787.1
XP_022298825.1	13761554	13763672	NC_035787.1
XP_022298826.1	13788579	13788579	NC_035787.1
XP_022298827.1	13832017	13836733	NC_035787.1
XP_022298828.1	14247137	14248036	NC_035787.1
XP_022298829.1	46229635	46229635	NC_035780.1
XP_022298830.1	14307072	14311483	NC_035787.1
XP_022298831.1	53657216	53688417	NC_035787.1
XP_022298832.1	14610226	14612203	NC_035787.1
XP_022298833.1	14911715	14952506	NC_035787.1
XP_022298834.1	14961243	14961532	NC_035787.1
XP_022298835.1	20145409	20157901	NC_035787.1
XP_022298836.1	20145409	20157901	NC_035787.1
XP_022298837.1	20145409	20157901	NC_035787.1
XP_022298838.1	15152028	15155476	NC_035787.1
XP_022298839.1	46660978	46667752	NC_035780.1
XP_022298840.1	15535158	15537136	NC_035787.1
XP_022298841.1	6218064	6219132	NC_035787.1
XP_022298842.1	6193090	6193823	NC_035787.1
XP_022298843.1	14254647	14265627	NC_035787.1
XP_022298844.1	14254647	14254647	NC_035787.1
XP_022298845.1	14254647	14254647	NC_035787.1
XP_022298846.1	14254647	14254647	NC_035787.1
XP_022298847.1	14263694	14263694	NC_035787.1
XP_022298848.1	58228572	58243685	NC_035780.1
XP_022298849.1	55509843	55530137	NC_035787.1
XP_022298850.1	55509843	55530137	NC_035787.1
XP_022298851.1	55509843	55539024	NC_035787.1
XP_022298852.1	55509843	55539024	NC_035787.1
XP_022298853.1	55509843	55520233	NC_035787.1
XP_022298854.1	28949448	28963228	NC_035787.1
XP_022298855.1	28949448	28963228	NC_035787.1
XP_022298856.1	28949448	28979098	NC_035787.1
XP_022298857.1	15189276	15199890	NC_035787.1
XP_022298858.1	15189276	15199890	NC_035787.1
XP_022298859.1	15189276	15199093	NC_035787.1
XP_022298860.1	15180956	15181724	NC_035787.1
XP_022298861.1	17685263	17704214	NC_035787.1
XP_022298862.1	17744869	17756992	NC_035787.1
XP_022298863.1	17744869	17756992	NC_035787.1
XP_022298864.1	17762305	17780543	NC_035787.1
XP_022298865.1	17793415	17804562	NC_035787.1
XP_022298866.1	17793415	17804562	NC_035787.1
XP_022298867.1	17704527	17707000	NC_035787.1
XP_022298868.1	17704527	17707006	NC_035787.1
XP_022298869.1	17781195	17783251	NC_035787.1
XP_022298870.1	17724218	17724758	NC_035787.1
XP_022298871.1	15520580	15524374	NC_035787.1
XP_022298872.1	47197450	47209559	NC_035780.1
XP_022298873.1	15520580	15524377	NC_035787.1
XP_022298874.1	15520580	15522057	NC_035787.1
XP_022298875.1	15560308	15573710	NC_035787.1
XP_022298876.1	15543504	15546393	NC_035787.1
XP_022298877.1	15598004	15606339	NC_035787.1
XP_022298878.1	15598161	15606339	NC_035787.1
XP_022298879.1	15587870	15588882	NC_035787.1
XP_022298880.1	15587870	15588882	NC_035787.1
XP_022298881.1	15509541	15517085	NC_035787.1
XP_022298882.1	60232618	60237221	NC_035787.1
XP_022298883.1	60238782	60250685	NC_035787.1
XP_022298884.1	47555374	47572892	NC_035780.1
XP_022298885.1	47932792	47946970	NC_035787.1
XP_022298886.1	47932792	47946970	NC_035787.1
XP_022298887.1	47932792	47946970	NC_035787.1
XP_022298888.1	47922135	47925165	NC_035787.1
XP_022298889.1	40003398	40003398	NC_035787.1
XP_022298890.1	39984138	39984138	NC_035787.1
XP_022298891.1	40027855	40027855	NC_035787.1
XP_022298892.1	40116465	40116465	NC_035787.1
XP_022298893.1	40018001	40024808	NC_035787.1
XP_022298894.1	40018001	40024808	NC_035787.1
XP_022298895.1	40018001	40024808	NC_035787.1
XP_022298896.1	23484971	23485855	NC_035780.1
XP_022298897.1	47688941	47706596	NC_035780.1
XP_022298898.1	40001735	40024808	NC_035787.1
XP_022298899.1	40018001	40021825	NC_035787.1
XP_022298900.1	40081836	40089103	NC_035787.1
XP_022298901.1	40081836	40089103	NC_035787.1
XP_022298902.1	40081836	40087633	NC_035787.1
XP_022298903.1	40142705	40149286	NC_035787.1
XP_022298904.1	40142705	40149286	NC_035787.1
XP_022298905.1	51413762	51437411	NC_035787.1
XP_022298906.1	51413762	51437411	NC_035787.1
XP_022298907.1	47710211	47716869	NC_035780.1
XP_022298908.1	51413762	51437411	NC_035787.1
XP_022298909.1	51413762	51437411	NC_035787.1
XP_022298910.1	51413762	51437411	NC_035787.1
XP_022298911.1	51413762	51437411	NC_035787.1
XP_022298912.1	51413762	51437411	NC_035787.1
XP_022298913.1	51413762	51437411	NC_035787.1
XP_022298914.1	51413762	51437411	NC_035787.1
XP_022298915.1	51413762	51437411	NC_035787.1
XP_022298916.1	12356909	12356909	NC_035787.1
XP_022298917.1	12347819	12347819	NC_035787.1
XP_022298918.1	12371786	12373571	NC_035787.1
XP_022298919.1	12360041	12365225	NC_035787.1
XP_022298920.1	12360041	12365225	NC_035787.1
XP_022298921.1	47721347	47722457	NC_035780.1
XP_022298922.1	12360041	12365225	NC_035787.1
XP_022298923.1	12360041	12365225	NC_035787.1
XP_022298924.1	12360041	12365225	NC_035787.1
XP_022298925.1	12342594	12344338	NC_035787.1
XP_022298926.1	4820758	4849668	NC_035787.1
XP_022298927.1	4821149	4849668	NC_035787.1
XP_022298928.1	4857234	4865846	NC_035787.1
XP_022298929.1	4857234	4865846	NC_035787.1
XP_022298930.1	4826073	4829481	NC_035787.1
XP_022298931.1	4826073	4829481	NC_035787.1
XP_022298932.1	47844765	47850349	NC_035780.1
XP_022298933.1	70596334	70596334	NC_035787.1
XP_022298934.1	70621135	70621135	NC_035787.1
XP_022298935.1	70636196	70636196	NC_035787.1
XP_022298936.1	68861629	68893905	NC_035787.1
XP_022298937.1	19060843	19061825	NC_035787.1
XP_022298938.1	19060843	19061825	NC_035787.1
XP_022298939.1	19040395	19047236	NC_035787.1
XP_022298940.1	19040395	19047236	NC_035787.1
XP_022298941.1	19048154	19058609	NC_035787.1
XP_022298942.1	19048154	19058609	NC_035787.1
XP_022298943.1	19033689	19039333	NC_035787.1
XP_022298944.1	47925902	47940530	NC_035780.1
